"","A Mina","A Rua Torta de Gramado","Aldeia do Papai Noel","Alpen Park","Capela Cristo Ressuscitado","Caro Watson Escape Game","Casa Centenária","Casa das Artes","Casa do Colono","Casa Seganfredo","Central de Informações Turísticas de Gramado","Centro Municipal de Cultura","Chave-Mestra Escape Game Gramado","Cine -Teatro Elizabeth Rosenfeld","Colorio","Dreamland Museu de Cera","Ervateira Marcon - Natural de Gramado","Fonte do Amor Eterno","Fragram - Museu do Perfume","Galeria Arte12b","Galleria D'arte Giovanni Bocchi","Gram Bier","GramadoZoo","Harley Motor Show","Igreja Matriz São Pedro Apóstolo","Igreja Metodista","Lago Negro","Le Jardin Parque de Lavanda","Memorial Casa Italiana","Mini Mundo","Mirante do Belvedere","Mundo de Chocolate","Mundo Encantado","Museu do Automóvel - Hollywood Dream Cars","Museu do Festival de Cinema de Gramado","Museu do Sapato","Museu Fioreze","Museu Gramado - Minerais & Pedras Preciosas","Museu Naval","O Reino do Chocolate","Parque do Palácio","Parque do Pinheiro Grosso","Parque Gaúcho","Parque Municipal Caminho da Santinha","Parque Temático Mundo Gelado","Pórtico via Nova Petrópolis","Pórtico Via Taquara","Praça da Criança","Praça das Etnias","Praça Major Nicoletti","Prefeitura Municipal de Gramado","Rotula das Bandeiras","Rua Coberta","Snowland","Vinicola Masotti","Vinícola Ravanello"
"Central de Informações Turísticas de Gramado",4,15,6,3,0,0,0,1,7,0,44,0,1,2,0,10,0,20,6,0,0,0,4,7,25,1,26,11,3,17,13,12,3,9,6,1,0,2,1,9,0,1,1,0,3,18,14,0,19,13,9,14,33,8,0,0
"Centro Municipal de Cultura",0,1,2,2,0,0,0,0,1,0,0,7,0,0,0,0,0,2,0,0,0,0,1,0,3,0,3,2,1,4,1,0,2,0,0,0,0,0,0,4,0,0,1,0,0,1,1,0,4,3,2,1,4,0,0,0
"Chave-Mestra Escape Game Gramado",5,6,9,7,0,15,1,0,6,0,1,0,341,2,0,9,1,11,1,0,0,1,4,8,15,0,27,5,1,21,1,7,2,5,0,1,0,1,0,2,0,0,3,0,5,5,1,0,5,3,2,3,18,32,0,1
"Cine -Teatro Elizabeth Rosenfeld",0,1,0,0,0,1,0,0,0,0,2,0,2,4,0,0,0,3,1,0,0,0,0,0,2,0,1,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,2,2,1,1,3,2,0,0
"Colorio",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
"Dreamland Museu de Cera",45,98,144,77,1,8,6,0,70,1,10,0,9,0,0,1006,3,202,27,0,0,8,88,457,270,1,603,129,6,467,42,113,21,388,17,1,2,54,4,77,0,1,30,0,35,123,65,0,79,35,15,40,452,335,4,18
"Ervateira Marcon - Natural de Gramado",1,3,3,2,0,0,7,0,3,1,0,0,1,0,0,3,23,6,0,0,0,1,1,1,10,0,11,5,0,8,0,1,0,4,1,0,2,0,0,0,0,0,0,0,0,1,1,0,5,2,0,1,13,6,2,0
"Fonte do Amor Eterno",55,177,116,53,1,5,13,2,148,4,20,2,11,3,0,202,6,925,35,0,0,22,63,147,476,0,654,193,15,388,68,111,26,141,27,1,2,29,1,84,0,1,28,0,31,181,84,1,159,75,26,61,595,244,2,22
"Fragram - Museu do Perfume",12,26,20,7,0,1,4,0,23,0,6,0,1,1,0,27,0,35,112,0,0,1,10,23,49,0,72,36,4,48,19,22,11,28,5,0,0,11,1,15,0,0,7,0,7,32,23,0,24,8,3,13,65,26,1,2
"Galeria Arte12b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Galleria D'arte Giovanni Bocchi",0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Gram Bier",4,7,7,6,0,1,0,0,12,2,0,0,1,0,0,8,1,22,1,0,0,120,7,10,20,0,51,15,2,26,5,8,1,3,0,0,1,1,0,8,0,0,1,0,1,6,5,0,7,5,2,4,32,18,0,3
"GramadoZoo",20,40,108,44,0,6,1,0,40,1,4,1,4,0,0,88,1,63,10,0,0,7,541,59,92,0,240,94,5,197,28,42,10,64,7,0,1,9,2,40,0,1,130,0,22,47,33,5,37,14,6,20,162,147,1,8
"Harley Motor Show",31,73,104,56,1,6,5,0,44,1,7,0,8,0,0,457,1,147,23,0,0,10,59,673,189,1,396,78,3,326,29,78,14,365,13,1,1,49,3,54,0,0,28,0,27,92,47,0,68,24,12,34,334,244,3,13
"Igreja Matriz São Pedro Apóstolo",67,199,190,84,1,7,17,1,203,4,25,3,15,2,0,270,10,476,49,0,0,20,92,189,1500,1,1006,282,16,632,85,162,30,203,34,1,1,33,1,114,1,3,38,0,34,248,114,5,209,98,39,83,912,348,4,25
"Igreja Metodista",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0
"Lago Negro",129,309,466,230,1,30,22,3,340,17,26,3,27,1,0,603,11,654,72,0,1,51,240,396,1006,0,4892,689,19,1886,127,292,48,405,37,1,3,57,3,218,1,5,69,0,83,370,168,10,284,102,40,96,1746,1091,12,73
