"","2011","2012","2013","2014","2015","2016","2017","2018"
"Prefeitura Municipal de Gramado",,0.359375,0.24812030075188,0.408163265306122,0.257142857142857,0.37007874015748,0.443478260869565,0.459459459459459
"Rua Coberta",,0.370967741935484,0.464788732394366,0.396039603960396,0.368852459016393,0.328671328671329,0.380597014925373,0.372262773722628
"A Mina",,,0.370786516853933,0.412371134020619,0.343511450381679,0.408695652173913,0.435897435897436,0.451327433628319
"Casa Centenária",,,0.471428571428571,0.388349514563107,0.326086956521739,0.343065693430657,0.414634146341463,0.401574803149606
"Ervateira Marcon - Natural de Gramado",,,0.434210526315789,0.43956043956044,0.348837209302326,0.405172413793103,0.451327433628319,0.404761904761905
"Fonte do Amor Eterno",,,0.434210526315789,0.444444444444444,0.276073619631902,0.356060606060606,0.435897435897436,0.401574803149606
"Memorial Casa Italiana",,,0.507692307692308,0.36697247706422,0.321428571428571,0.427272727272727,0.432203389830508,0.408
"Museu de Artes Dr. Carlos Nelz",,,0.507692307692308,0.444444444444444,0.45,,,
"Museu do Sapato",,,0.523809523809524,0.519480519480519,0.45,0.447619047619048,0.536842105263158,
"Museu Fioreze",,,0.434210526315789,0.421052631578947,0.365853658536585,0.361538461538462,0.525773195876289,0.386363636363636
"Parque Temático Mundo Gelado",,,0.317307692307692,0.353982300884956,0.387931034482759,0.345588235294118,0.451327433628319,0.389312977099237
"Praça das Etnias",,,0.445945945945946,0.32,0.294117647058824,0.408695652173913,0.443478260869565,0.414634146341463
"Snowland",,,0.354838709677419,0.285714285714286,0.3125,0.330985915492958,0.435897435897436,0.351724137931034
"A Rua Torta de Gramado",,,,0.353982300884956,0.405405405405405,0.423423423423423,0.476635514018692,0.395348837209302
"Casa das Artes",,,,0.425531914893617,0.384615384615385,0.479591836734694,0.428571428571429,
"Cine -Teatro Elizabeth Rosenfeld",,,,0.363636363636364,0.362903225806452,0.412280701754386,0.443478260869565,0.481132075471698
"Mundo de Chocolate",,,,0.444444444444444,0.401785714285714,0.382113821138211,0.476635514018692,0.447368421052632
"Museu Naval",,,,0.388349514563107,0.409090909090909,0.330985915492958,0.467889908256881,
"Vinícola Ravanello",,,,0.363636363636364,0.328467153284672,0.451923076923077,0.408,0.377777777777778
"Aldeia do Papai Noel",,,,,0.416666666666667,0.356060606060606,0.366906474820144,0.425
"Central de Informações Turísticas de Gramado",,,,,0.391304347826087,0.401709401709402,0.463636363636364,0.463636363636364
"Gram Bier",,,,,0.371900826446281,0.465346534653465,0.472222222222222,0.421487603305785
"Museu do Festival de Cinema de Gramado",,,,,0.405405405405405,0.361538461538462,0.3984375,0.443478260869565
"Praça da Criança",,,,,0.391304347826087,0.447619047619048,0.386363636363636,0.356643356643357
"Caro Watson Escape Game",,,,,,0.335714285714286,0.490384615384615,0.404761904761905
"Galleria D'arte Giovanni Bocchi",,,,,,0.391666666666667,,
"Vinicola Masotti",,,,,,0.505376344086022,0.408,0.51
"Capela Cristo Ressuscitado",,,,,,,0.476635514018692,
"Casa Seganfredo",,,,,,,0.392307692307692,0.404761904761905
"Chave-Mestra Escape Game Gramado",,,,,,,0.504950495049505,0.369565217391304
