"","2011","2012","2013","2014","2015","2016","2017","2018"
"O Reino do Chocolate",0.00151515151515152,0.00326973525066992,0.00583454885539621,0.00758223237647492,0.00541709130560952,0.00384434931669393,0.00446216334375043,0.00746368993893829
"Parque Gaúcho",0,0.000997922225543709,0.013604074290011,0.00131130745229922,0.00219602544211235,0.00368221974524175,0.00243345181397442,0.000684752424464637
"Pórtico via Nova Petrópolis",0.0295277176527177,0.00351883836538568,0.00451998970876733,0.00347799120701636,0.00412762740250925,0.00314475063285928,0.0103831081510893,0.0177155319373656
"Pórtico Via Taquara",0.0295277176527177,0.00351883836538568,0.0156778974575842,0.00347799120701636,0.00745833709685531,0.00384434931669393,0.00861054607862146,0.0121485095635646
"Praça Major Nicoletti",0.00333333333333333,0.00112376966596915,0.00451998970876733,0.00702913753602376,0.00268069332141624,0.00327727440073522,0.00521613268943164,0.00692620807335853
"Rotula das Bandeiras",0.0202149470899471,0.00228841207102077,0.00194598258270912,0.00824938672581462,0.00412762740250925,0.00632730166088586,0.0090825794760598,0.00705252289109081
"Casa do Colono",,0.00445356846775122,0.00471242697572789,0.00347799120701636,0.000967730358453279,0.00384434931669393,0.00619985348558521,0.00994608128945376
"Centro Municipal de Cultura",,0,,0.000937452388346901,0.00159166806553991,0.000489982411225831,0,0.00129576306046894
"Le Jardin Parque de Lavanda",,0.00121321914800176,0.00127439416090732,0.00304394398561282,0.00586710287146216,0.0028478128003572,0.0100207228650041,0.0154418417293956
"Museu Gramado - Minerais & Pedras Preciosas",,0,0.013604074290011,0.0072498013255757,0.000550402546489452,0.00193185340516294,0.00236685409390387,0.0015602508405109
"Parque do Pinheiro Grosso",,0.00749341238471673,0,0.000544442573178205,0.000107840020120722,0.000817064246382763,0.000846007513464819,0
"Prefeitura Municipal de Gramado",,0.000904182489860239,0.000901808766186237,0.00347799120701636,0.000967730358453279,0.00314475063285928,0.00630807322472414,0.00795053910639692
"Rua Coberta",,0.00703422943018386,0.00729250128809709,0.00347799120701636,0.00586710287146216,0.00851374714057834,0.0142973073343863,0.0177155319373656
"A Mina",,,0.00173521213683806,0.00347799120701636,0.00203892479632155,0.00384434931669393,0.00345679791370615,0.00564479188162638
"Casa Centenária",,,0.0067308244403152,0.00108709365515173,0.000855181242714371,0.000218160290461766,0.000398778904891938,0.000362114823221344
"Ervateira Marcon - Natural de Gramado",,,0.00410935024571388,0.00130855728618843,0.000225787562310688,0.000784225901624509,0.00081446149433462,0.000539212716552125
"Fonte do Amor Eterno",,,0,0.0072498013255757,0.00395211970647899,0.00632730166088586,0.0112779541385625,0.00789247694173177
"Memorial Casa Italiana",,,0.00107036271808999,0.000871893113272424,0.000784729512426175,0.00251881594339043,0.0021519553612227,0.000212899828311098
"Museu de Artes Dr. Carlos Nelz",,,0,0.00097707416734899,8.65800865800866e-05,,,
"Museu do Sapato",,,0,0,0.00148458809361757,0,0,
"Museu Fioreze",,,0.0057967129229091,0.000780786398758663,0.000437853430750543,0.000274094631171412,0.000223834263049949,6.5359477124183e-05
"Parque Temático Mundo Gelado",,,0.000854004224380147,0.000939278672224467,0.00441083743585232,0.000928981525216122,0.00639710437182987,0.000943405221798236
"Praça das Etnias",,,0.0090596660733253,0.00304394398561282,0.00268069332141624,0.0112279668298212,0.00848815302631363,0.0184358573635734
"Snowland",,,0.00173521213683806,0.00347799120701636,0.00228840181328366,0.00632730166088586,0.0151159716422147,0.0114522226453493
"A Rua Torta de Gramado",,,,0,0.00412762740250925,0.00632730166088586,0.0142973073343863,0.0152339786322829
"Casa das Artes",,,,0.000267034662867996,0.000402232769776175,4.80636587555133e-05,0,
"Cine -Teatro Elizabeth Rosenfeld",,,,0.000225779967159277,2.65816055289739e-05,0.000552190638208659,9.92645111437233e-05,0.000217864923747277
"Mundo de Chocolate",,,,0.00103883550031682,0.00412762740250925,0.00384434931669393,0.0100537968205575,0.0136941222982179
"Museu Naval",,,,8.84173297966401e-05,0.000495642491729397,2.72079229471622e-05,0.000784313725490196,
"Vinícola Ravanello",,,,0,0.000688524301920061,0.000696261628718133,0.00116712396596973,0.000994652070999049
"Aldeia do Papai Noel",,,,,0.00483141332529552,0.00728594327919073,0.00568490204229565,0.0142462908846306
"Central de Informações Turísticas de Gramado",,,,,0,0.00170901846196212,0.00424029034347759,0.00384790883145265
"Gram Bier",,,,,0,0.00513588110732124,0.00132850518367875,0.000975369256903205
"Museu do Festival de Cinema de Gramado",,,,,0,4.80636587555133e-05,0.00244122917541131,0.00325557333656224
