"","A Mina","A Rua Torta de Gramado","Aldeia do Papai Noel","Alpen Park","Casa Centenária","Casa das Artes","Casa do Colono","Casa Seganfredo","Central de Informações Turísticas de Gramado","Centro Municipal de Cultura","Cine -Teatro Elizabeth Rosenfeld","Dreamland Museu de Cera","Ervateira Marcon - Natural de Gramado","Fonte do Amor Eterno","Fragram - Museu do Perfume","Gram Bier","GramadoZoo","Harley Motor Show","Igreja Matriz São Pedro Apóstolo","Lago Negro","Le Jardin Parque de Lavanda","Memorial Casa Italiana","Mini Mundo","Mirante do Belvedere","Mundo de Chocolate","Mundo Encantado","Museu de Artes Dr. Carlos Nelz","Museu do Automóvel - Hollywood Dream Cars","Museu do Festival de Cinema de Gramado","Museu do Sapato","Museu Fioreze","Museu Gramado - Minerais & Pedras Preciosas","Museu Naval","O Reino do Chocolate","Parque do Pinheiro Grosso","Parque Gaúcho","Parque Temático Mundo Gelado","Pórtico via Nova Petrópolis","Pórtico Via Taquara","Praça da Criança","Praça das Etnias","Praça Major Nicoletti","Prefeitura Municipal de Gramado","Rotula das Bandeiras","Rua Coberta","Snowland","Vinícola Ravanello"
"Parque do Pinheiro Grosso",4,1,3,16,2,0,11,0,0,2,0,16,1,17,1,0,12,16,17,42,18,0,30,12,7,7,0,24,0,0,1,2,1,10,94,4,17,11,8,0,11,8,8,7,13,18,2
"Parque Gaúcho",27,13,27,31,7,3,55,0,2,5,0,72,4,60,12,0,284,63,88,192,71,12,192,34,25,28,0,94,2,2,3,22,2,32,4,361,22,60,59,1,55,28,19,25,59,137,9
"Parque Temático Mundo Gelado",22,19,20,83,0,1,36,0,0,3,2,78,0,68,8,1,43,74,99,189,39,5,180,32,39,27,1,78,0,1,0,17,3,44,17,22,420,61,48,2,41,20,21,31,89,156,9
"Pórtico via Nova Petrópolis",61,88,85,102,27,6,226,0,4,16,11,259,10,340,47,0,126,259,582,809,158,18,665,187,109,54,2,406,1,4,9,79,3,139,11,60,61,1157,341,7,268,187,134,178,358,456,37
"Pórtico Via Taquara",45,62,53,72,14,4,124,0,4,14,5,168,7,239,35,1,95,164,357,517,114,9,413,138,84,46,2,246,1,5,6,44,3,108,8,59,48,341,750,4,187,132,89,127,217,312,12
"Praça da Criança",0,5,1,1,1,2,5,0,0,0,0,5,0,5,0,0,1,3,8,10,4,2,8,4,3,0,2,2,0,1,1,1,1,3,0,1,2,7,4,20,7,5,2,8,7,5,1
"Praça das Etnias",41,137,63,70,27,6,253,0,3,13,8,192,20,306,36,0,98,189,431,561,167,38,476,134,106,41,0,277,1,7,16,79,6,113,11,55,41,268,187,7,894,181,123,153,242,328,28
"Praça Major Nicoletti",20,56,22,52,13,3,149,0,4,5,6,99,11,182,21,0,65,110,278,337,100,17,272,103,56,26,0,170,1,4,12,40,3,56,8,28,20,187,132,5,181,459,91,106,155,172,21
"Prefeitura Municipal de Gramado",13,24,22,35,7,2,71,0,3,9,2,70,5,108,12,0,42,79,159,201,58,5,175,72,38,23,0,120,0,3,7,29,2,44,8,19,21,134,89,2,123,91,294,64,89,127,11
"Rotula das Bandeiras",19,65,50,51,18,6,99,0,5,10,3,136,7,148,27,0,49,106,222,293,66,14,256,93,69,36,1,172,1,3,7,49,4,88,7,25,31,178,127,8,153,106,64,421,169,157,13
"Rua Coberta",48,81,136,156,29,7,252,0,2,9,15,385,15,400,41,1,145,336,690,1146,168,21,967,157,142,50,0,369,1,2,7,81,2,184,13,59,89,358,217,7,242,155,89,169,1925,653,58
"Snowland",117,112,220,348,23,6,377,0,3,19,9,741,15,560,54,0,311,703,928,2125,360,23,2198,183,285,90,1,833,0,4,12,136,6,258,18,137,156,456,312,5,328,172,127,157,653,5126,91
"Vinícola Ravanello",10,9,6,16,5,2,43,0,0,2,4,37,1,51,4,0,19,32,67,136,53,6,105,14,23,11,0,38,0,0,1,14,1,16,2,9,9,37,12,1,28,21,11,13,58,91,302
